,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
166,Apartment/Condominium,"$2,218",983 sqft,Yes,$691,R2895367,,Residential,2021,,"117 - 5486 199 A St, Langley, BC",2,2,2,16/06/2024,"$679,900"
167,Apartment/Condominium,"$2,688",744 sqft,Yes,$692,R2895341,,Residential,2009,,"117 - 8915 202 St, Langley, BC",1,1,1,16/06/2024,"$515,000"
168,Single Family Residence,"$8,181",2191 sqft,Yes,"$1,414",R2894211,,Residential,1978,,"6285 226 St, Langley, BC",2,3,20,11/06/2024,"$3,100,000"
169,Townhouse,"$3,780",1630 sqft,No,$545,R2894458,,Residential,2005,,"39 - 21661 88 Ave, Langley, BC",2,3,2,12/06/2024,"$889,000"
170,Single Family Residence,"$6,412",2820 sqft,Yes,$602,R2895429,,Residential,1974,,"4726 Saddlehorn Cres, Langley, BC",2,3,5,20/06/2024,"$1,699,000"
171,Single Family Residence,"$5,268",1417 sqft,Yes,$846,R2893926,,Residential,1984,,"9236 209a Cres, Langley, BC",2,3,3,11/06/2024,"$1,200,000"
172,Apartment/Condominium,"$2,827",1093 sqft,Yes,$511,R2895008,,Residential,1995,,"317 - 27358 32 Ave, Langley, BC",2,2,1,12/06/2024,"$559,000"
173,Townhouse,"$3,823",1246 sqft,Yes,$624,R2893651,,Residential,2003,,"28 - 20540 66 Ave, Langley, BC",2,3,3,11/06/2024,"$778,000"
174,Single Family Residence,"$5,423",2022 sqft,No,$816,R2893773,,Residential,1967,,"9079 Nash St, Langley, BC",1,4,6,11/06/2024,"$1,649,999"
175,Apartment/Condominium,,663 sqft,Yes,$904,R2893177,,Residential,2024,,"406 - 5504 Brydon Cres, Langley, BC",1,2,1,12/06/2024,"$599,900"
176,Single Family Residence,"$6,498",2974 sqft,Yes,$769,R2894318,,Residential,1970,,"8952 Hadden St, Langley, BC",3,4,8,11/06/2024,"$2,288,000"
177,Single Family Residence,"$5,359",2199 sqft,No,"$1,272",R2892932,,Residential,1962,,"23166 48 Ave, Langley, BC",2,4,1,11/06/2024,"$2,799,000"
178,Single Family Residence,"$7,824",5553 sqft,Yes,$468,R2893978,,Residential,2022,,"19805 32 Ave, Langley, BC",7,7,4,11/06/2024,"$2,599,999"
179,Single Family Residence,"$7,356",3527 sqft,No,"$1,558",R2891855,,Residential,1971,,"22061 64 Ave, Langley, BC",2,5,10,11/06/2024,"$5,496,000"
180,Single Family Residence,"$7,691",3866 sqft,Yes,$517,R2893970,,Residential,2011,,"7092 208a St, Langley, BC",4,5,4,11/06/2024,"$1,999,000"
181,Apartment/Condominium,,590 sqft,Yes,$779,R2894944,,Residential,2024,,"104 - 8140 200 St, Langley, BC",1,1,1,11/06/2024,"$460,000"
182,Townhouse,"$3,767",1294 sqft,Yes,$637,R2893884,,Residential,2013,,"45 - 4967 220 St, Langley, BC",2,3,3,11/06/2024,"$824,900"
183,Single Family Residence,"$7,072",4533 sqft,Yes,$485,R2894496,,Residential,2016,,"20770 46a Ave, Langley, BC",5,7,8,11/06/2024,"$2,199,999"
184,Apartment/Condominium,"$6,527",1429 sqft,No,$804,R2892557,,Residential,2014,,"202 - 9190 Church St, Langley, BC",2,2,1,09/06/2024,"$1,149,000"
185,Apartment/Condominium,"$3,076",1096 sqft,Yes,$748,R2892574,,Residential,2021,,"C507 - 8150 207 St, Langley, BC",2,2,2,09/06/2024,"$819,900"
186,Apartment/Condominium,"$2,488",633 sqft,Yes,$742,R2894463,,Residential,1997,,"319 - 19750 64 Ave, Langley, BC",1,1,1,09/06/2024,"$469,800"
187,Townhouse,"$4,129",1415 sqft,Yes,$650,R2893348,,Residential,2017,,"30 - 8138 204 St, Langley, BC",2,3,2,09/06/2024,"$920,000"
188,Single Family Residence,"$9,342",4426 sqft,Yes,$564,R2893768,,Residential,2021,,"2870 203 St, Langley, BC",4,7,5,09/06/2024,"$2,499,000"
189,Apartment/Condominium,,669 sqft,Yes,$850,R2892591,,Residential,2024,,"312 - 20077 84 Ave, Langley, BC",1,1,1,09/06/2024,"$569,000"
190,Townhouse,,1653 sqft,Yes,$756,R2892751,,Residential,2024,,"30 - 9122 King St, Langley, BC",3,4,2,09/06/2024,"$1,249,900"
191,Single Family Residence,"$10,045",5553 sqft,Yes,$423,R2892745,,Residential,2016,,"4770 209 St, Langley, BC",6,8,0,09/06/2024,"$2,349,999"
192,Apartment/Condominium,"$1,793",676 sqft,Yes,$767,R2891319,,Residential,2021,,"311 - 5485 Brydon Cres, Langley, BC",1,1,1,05/06/2024,"$519,000"
193,Manufactured Home,$726,1181 sqft,No,$364,R2891565,,Residential,1980,,"218 - 3665 244 St, Langley, BC",2,2,4,05/06/2024,"$429,900"
194,Townhouse,"$4,649",2237 sqft,Yes,$569,R2891200,,Residential,2020,,"68 - 20327 72 B Ave, Langley, BC",3,4,2,05/06/2024,"$1,274,900"
195,Single Family Residence,"$12,296",3644 sqft,Yes,"$1,015",R2892791,,Residential,1969,,"22063 86 A Ave, Langley, BC",2,5,6,05/06/2024,"$3,700,000"
196,Single Family Residence,"$5,457",3174 sqft,No,$535,R2891448,,Residential,2023,,"7634 206 St, Langley, BC",5,6,4,05/06/2024,"$1,699,900"
197,Single Family Residence,"$7,216",1698 sqft,No,"$1,693",R2891581,,Residential,9999,,"24401 58 Ave, Langley, BC",1,3,0,05/06/2024,"$2,875,000"
198,Single Family Residence,"$4,895",1559 sqft,Yes,$769,R2891180,,Residential,1980,,"2393 Wakefield Dr, Langley, BC",2,3,0,05/06/2024,"$1,199,000"
199,Single Family Residence,"$6,243",3570 sqft,Yes,$483,R2891683,,Residential,2008,,"8213 211 St, Langley, BC",4,6,6,05/06/2024,"$1,725,000"
200,Townhouse,"$3,818",2214 sqft,Yes,$433,R2891278,,Residential,1998,,"2 - 20222 96 Ave, Langley, BC",2,3,2,04/06/2024,"$959,900"
201,Single Family Residence,"$5,622",1817 sqft,Yes,$747,R2891654,,Residential,1981,,"20473 Telegraph Trail, Langley, BC",2,3,2,04/06/2024,"$1,358,000"
202,Apartment/Condominium,"$1,689",656 sqft,Yes,$725,R2890732,,Residential,2021,,"217 - 5486 199a St, Langley, BC",1,1,1,04/06/2024,"$476,000"
203,Townhouse,"$3,607",1605 sqft,Yes,$522,R2891602,,Residential,1993,,"57 - 21928 48 Ave, Langley, BC",2,3,2,04/06/2024,"$838,000"
204,Single Family Residence,,4891 sqft,Yes,$510,R2891288,,Residential,2024,,"21026 45 A Ave, Langley, BC",5,7,0,04/06/2024,"$2,499,000"
205,Townhouse,"$3,890",1935 sqft,Yes,$459,R2892168,,Residential,1996,,"12 - 19948 Willoughby Way, Langley, BC",2,4,2,04/06/2024,"$889,900"
206,Townhouse,"$4,672",1574 sqft,Yes,$600,R2891106,,Residential,2019,,"8 - 20849 78b Ave, Langley, BC",2,3,2,04/06/2024,"$945,000"
207,Townhouse,"$2,957",1346 sqft,Yes,$594,R2890257,,Residential,1990,,"34 - 19649 53 Ave, Langley, BC",2,2,3,04/06/2024,"$799,999"
208,Single Family Residence,"$6,112",2743 sqft,Yes,$765,R2889580,,Residential,1973,,"5032 236 St, Langley, BC",3,4,12,02/06/2024,"$2,098,900"
209,Apartment/Condominium,"$2,301",510 sqft,Yes,$743,R2890178,,Residential,2005,,"319 - 8880 202 St, Langley, BC",1,1,1,03/06/2024,"$379,000"
210,Single Family Residence,"$8,450",4706 sqft,Yes,$637,R2889242,,Residential,2016,,"20261 41 Ave, Langley, BC",4,8,4,02/06/2024,"$2,999,900"
211,Single Family Residence,"$5,138",2677 sqft,Yes,$560,R2889758,,Residential,1973,,"19793 38a Ave, Langley, BC",4,6,1,02/06/2024,"$1,500,000"
212,Apartment/Condominium,,1056 sqft,Yes,$625,R2889157,,Residential,2023,,"104 - 19825 54 Ave, Langley, BC",2,3,1,02/06/2024,"$660,000"
213,Apartment/Condominium,"$3,084",805 sqft,Yes,$787,R2889765,,Residential,2020,,"416 - 20673 78 Ave, Langley, BC",2,2,2,02/06/2024,"$633,800"
214,Apartment/Condominium,"$3,084",791 sqft,Yes,$796,R2889533,,Residential,2020,,"421 - 20673 78 Ave, Langley, BC",2,2,2,02/06/2024,"$630,000"
215,Townhouse,"$4,126",1769 sqft,Yes,$514,R2887526,,Residential,2006,,"32 - 20120 68 Ave, Langley, BC",3,3,2,02/06/2024,"$910,000"
216,Apartment/Condominium,"$3,117",876 sqft,Yes,$740,R2888307,,Residential,2022,,"F407 - 8353 200 A St, Langley, BC",2,2,1,28/05/2024,"$649,000"
217,Single Family Residence,"$3,547",5960 sqft,Yes,$419,R2889213,,Residential,2024,,"20232 27a Ave, Langley, BC",7,9,7,30/05/2024,"$2,499,000"
218,Townhouse,"$3,610",1596 sqft,Yes,$526,R2887886,,Residential,1993,,"72 - 21928 48 Ave, Langley, BC",2,3,2,28/05/2024,"$839,900"
219,Apartment/Condominium,"$2,400",1272 sqft,Yes,$448,R2889250,,Residential,1990,,"312 - 20680 56 Ave, Langley, BC",2,2,2,30/05/2024,"$569,900"
220,Apartment/Condominium,"$2,792",1022 sqft,Yes,$615,R2887900,,Residential,1996,,"109 - 19750 64 Ave, Langley, BC",2,2,2,28/05/2024,"$628,800"
221,Single Family Residence,"$5,483",2177 sqft,Yes,$642,R2888921,,Residential,1987,,"20771 44 Ave, Langley, BC",3,5,7,29/05/2024,"$1,399,000"
222,Single Family Residence,"$5,931",3066 sqft,Yes,$515,R2888720,,Residential,2004,,"7075 200b St, Langley, BC",3,4,6,29/05/2024,"$1,579,900"
223,Single Family Residence,$553,1668 sqft,No,"$1,671",R2889734,,Residential,9999,,"23891 0 Ave, Langley, BC",1,2,10,29/05/2024,"$2,788,000"
224,Townhouse,"$2,883",1510 sqft,Yes,$529,R2887672,,Residential,2021,,"58 - 19760 55 Ave, Langley, BC",2,3,2,27/05/2024,"$800,000"
225,Single Family Residence,"$5,590",3527 sqft,Yes,$821,R2888137,,Residential,2008,,"1 - 23371 34a Ave, Langley, BC",4,5,2,27/05/2024,"$2,898,000"
226,Townhouse,"$3,200",1269 sqft,Yes,$586,R2888730,,Residential,2003,,"9 - 20176 68 Ave, Langley, BC",2,2,3,27/05/2024,"$744,000"
227,Single Family Residence,"$5,397",3200 sqft,Yes,$871,R2887861,,Residential,1940,,"6810 232 St, Langley, BC",0,5,6,27/05/2024,"$2,790,000"
228,Townhouse,"$3,796",1477 sqft,Yes,$608,R2887747,,Residential,2022,,"87 - 20180 84 Ave, Langley, BC",3,4,2,27/05/2024,"$899,000"
229,Townhouse,"$3,078",1411 sqft,No,$531,R2887926,,Residential,1996,,"31 - 9036 208 St, Langley, BC",2,2,2,27/05/2024,"$750,000"
230,Townhouse,"$4,917",2599 sqft,Yes,$471,R2887746,,Residential,2017,,"17 - 19938 70 Ave, Langley, BC",3,4,2,27/05/2024,"$1,224,900"
231,Townhouse,"$4,537",2145 sqft,Yes,$524,R2889204,,Residential,2011,,"12 - 20738 84 Ave, Langley, BC",3,3,2,27/05/2024,"$1,125,000"
232,Single Family Residence,"$2,023",5025 sqft,Yes,$517,R2886777,,Residential,2023,,"20149 27 Ave, Langley, BC",6,8,6,23/05/2024,"$2,599,000"
233,Apartment/Condominium,,663 sqft,Yes,$873,R2888247,,Residential,2024,,"315 - 5504 Brydon Cres, Langley, BC",1,2,2,23/05/2024,"$579,000"
234,Apartment/Condominium,"$3,120",893 sqft,Yes,$794,R2886022,,Residential,2021,,"A204 - 8150 207 St, Langley, BC",2,2,2,22/05/2024,"$709,900"
235,Townhouse,,1446 sqft,Yes,$608,R2886981,,Residential,2024,,"43 - 20164 81 A Ave, Langley, BC",2,3,2,24/05/2024,"$879,900"
236,Apartment/Condominium,"$3,078",834 sqft,Yes,$743,R2886208,,Residential,2022,,"B313 - 8150 207 St, Langley, BC",2,2,1,22/05/2024,"$619,900"
237,Single Family Residence,"$6,835",3747 sqft,Yes,$466,R2888470,,Residential,2022,,"21038 72 Ave, Langley, BC",4,5,4,23/05/2024,"$1,749,000"
238,Single Family Residence,"$2,527",3645 sqft,Yes,$493,R2886848,,Residential,2024,,"7513 205 A St, Langley, BC",5,7,4,22/05/2024,"$1,799,000"
239,Apartment/Condominium,,477 sqft,Yes,$890,R2888685,,Residential,2024,,"502 - 5504 Brydon Cres, Langley, BC",1,1,1,23/05/2024,"$424,900"
240,Single Family Residence,"$5,353",1498 sqft,Yes,"$1,134",R2886118,,Residential,1979,,"19971 39a Ave, Langley, BC",2,3,10,21/05/2024,"$1,699,999"
241,Single Family Residence,"$5,825",3616 sqft,Yes,$456,R2886252,,Residential,2006,,"8336 209a St, Langley, BC",3,4,4,21/05/2024,"$1,649,000"
242,Apartment/Condominium,"$3,176",921 sqft,Yes,$759,R2886609,,Residential,2021,,"D317 - 8150 207 St, Langley, BC",2,2,2,21/05/2024,"$699,900"
243,Townhouse,"$2,983",1452 sqft,No,$464,R2886093,,Residential,1995,,"52 - 8892 208 St, Langley, BC",2,2,2,21/05/2024,"$674,500"
244,Single Family Residence,"$4,303",845 sqft,No,"$1,584",R2886095,,Residential,1944,,"4775 208 St, Langley, BC",1,2,0,21/05/2024,"$1,339,000"
245,Single Family Residence,"$6,310",4950 sqft,Yes,$585,R2885688,,Residential,2023,,"9229 Marr St, Langley, BC",6,7,8,21/05/2024,"$2,899,800"
246,Single Family Residence,"$7,608",3764 sqft,Yes,$573,R2885947,,Residential,2015,,"8516 205b St, Langley, BC",4,6,6,21/05/2024,"$2,159,990"
247,Single Family Residence,"$7,090",4171 sqft,Yes,$407,R2886083,,Residential,2010,,"7250 199 St, Langley, BC",4,7,3,21/05/2024,"$1,699,000"
248,Single Family Residence,"$4,447",1818 sqft,Yes,$731,R2884624,,Residential,1976,,"4504 202a St, Langley, BC",2,3,5,19/05/2024,"$1,329,000"
249,Single Family Residence,"$7,958",4200 sqft,Yes,$566,R2884909,,Residential,2020,,"8357 209b St, Langley, BC",6,7,0,19/05/2024,"$2,380,000"
250,Single Family Residence,"$5,729",2288 sqft,Yes,$699,R2884250,,Residential,1989,,"8530 213 St, Langley, BC",2,3,8,16/05/2024,"$1,599,900"
251,Apartment/Condominium,"$2,718",602 sqft,Yes,$830,R2884110,,Residential,2017,,"E307 - 20211 66 Ave, Langley, BC",1,1,1,19/05/2024,"$500,000"
252,Single Family Residence,"$7,455",6957 sqft,Yes,"$1,407",R2883608,,Residential,2020,,"2974 224 St, Langley, BC",6,7,20,16/05/2024,"$9,790,000"
253,Single Family Residence,"$2,576",2574 sqft,Yes,"$2,093",R2884160,,Residential,1985,,"10392 208 St, Langley, BC",2,3,0,11/07/2024,"$5,388,000"
254,Single Family Residence,"$6,243",3350 sqft,Yes,$494,R2883950,,Residential,2005,,"20119 70 A Ave, Langley, BC",3,6,4,19/05/2024,"$1,658,000"
255,Apartment/Condominium,,606 sqft,Yes,$924,R2886517,,Residential,2024,,"601 - 5504 Brydon Cres, Langley, BC",1,1,1,19/05/2024,"$560,000"
256,Apartment/Condominium,"$3,269",707 sqft,Yes,$975,R2882866,,Residential,2012,,"404 - 23255 Billy Brown Rd, Langley, BC",1,1,1,14/05/2024,"$689,900"
257,Single Family Residence,"$5,142",2134 sqft,Yes,$674,R2883327,,Residential,1975,,"4656 203a St, Langley, BC",3,3,2,14/05/2024,"$1,439,999"
258,Single Family Residence,"$5,203",3807 sqft,Yes,$551,R2882996,,Residential,2014,,"23806 Old Yale Rd, Langley, BC",2,5,12,14/05/2024,"$2,100,000"
259,Single Family Residence,"$6,520",2837 sqft,Yes,$722,R2883914,,Residential,2012,,"3681 200 St, Langley, BC",3,6,10,14/05/2024,"$2,049,000"
260,Single Family Residence,"$4,283",1713 sqft,Yes,$781,R2883752,,Residential,1975,,"20473 43a Ave, Langley, BC",2,3,6,14/05/2024,"$1,339,000"
261,Single Family Residence,"$4,788",4438 sqft,Yes,$504,R2879331,,Residential,2024,,"7507 205 St, Langley, BC",5,6,0,14/05/2024,"$2,239,000"
262,Single Family Residence,"$2,507",3225 sqft,Yes,$517,R2883548,,Residential,2024,,"20538 75 Ave, Langley, BC",5,6,4,14/05/2024,"$1,668,888"
263,Single Family Residence,"$6,093",2700 sqft,Yes,$629,R2882203,,Residential,1993,,"4674 206 St, Langley, BC",2,4,4,12/05/2024,"$1,699,000"
264,Single Family Residence,"$6,825",3633 sqft,Yes,$494,R2881891,,Residential,2006,,"6746 205a St, Langley, BC",4,6,4,12/05/2024,"$1,795,000"
265,Townhouse,"$3,491",1629 sqft,Yes,$515,R2882973,,Residential,1995,,"126 - 20391 96 Ave, Langley, BC",2,2,2,12/05/2024,"$839,000"
266,Single Family Residence,"$5,253",3270 sqft,Yes,$458,R2882260,,Residential,2006,,"21777 95b Ave, Langley, BC",3,5,4,12/05/2024,"$1,499,900"
267,Townhouse,"$3,686",1407 sqft,Yes,$568,R2881661,,Residential,2003,,"42 - 20560 66 Ave, Langley, BC",2,3,2,12/05/2024,"$799,900"
268,Single Family Residence,"$7,831",5611 sqft,Yes,$356,R2882339,,Residential,2013,,"20536 69 Ave, Langley, BC",5,8,4,12/05/2024,"$1,999,900"
269,Apartment/Condominium,$837,660 sqft,Yes,$710,R2882250,,Residential,2007,,"406 - 19730 56 Ave, Langley, BC",1,1,1,12/05/2024,"$468,900"
270,Townhouse,"$3,563",1500 sqft,No,$566,R2882708,,Residential,2005,,"168 - 20033 70 Ave, Langley, BC",3,3,2,12/05/2024,"$849,900"
271,Single Family Residence,"$10,455",3542 sqft,Yes,"$1,241",R2881166,,Residential,1969,,"2535 204 St, Langley, BC",3,5,5,07/05/2024,"$4,399,000"
272,Single Family Residence,"$8,333",5217 sqft,Yes,$488,R2880528,,Residential,1979,,"25789 8 Ave, Langley, BC",4,6,12,06/05/2024,"$2,550,000"
273,Multi Family,"$3,435",2485 sqft,Yes,$543,R2882751,,Residential,2024,,"19647 74 Ave, Langley, BC",4,5,2,07/05/2024,"$1,349,900"
274,Apartment/Condominium,,967 sqft,Yes,$759,R2879607,,Residential,2024,,"305 - 20081 68 Ave, Langley, BC",2,2,2,06/05/2024,"$734,900"
275,Single Family Residence,"$7,709",4875 sqft,Yes,$475,R2881301,,Residential,1993,,"20567 98 Ave, Langley, BC",6,7,6,07/05/2024,"$2,320,000"
276,Apartment/Condominium,"$1,672",814 sqft,Yes,$675,R2881367,,Residential,2008,,"303 - 19830 56 Ave, Langley, BC",1,2,1,07/05/2024,"$549,900"
277,Single Family Residence,"$7,060",2511 sqft,Yes,$816,R2880614,,Residential,1991,,"25045 56 Ave, Langley, BC",2,3,10,07/05/2024,"$2,049,888"
278,Townhouse,"$3,835",1173 sqft,Yes,$680,R2879838,,Residential,2017,,"11 - 20857 77a Ave, Langley, BC",2,2,2,06/05/2024,"$798,000"
279,Single Family Residence,"$11,666",3464 sqft,Yes,"$1,573",R2879286,,Residential,1997,,"3170 196 St, Langley, BC",4,6,6,03/05/2024,"$5,450,000"
280,Single Family Residence,"$6,639",1625 sqft,Yes,"$5,846",R2879125,,Residential,1928,,"22164 79 Ave, Langley, BC",1,3,3,05/05/2024,"$9,500,000"
281,Single Family Residence,"$9,478",1393 sqft,Yes,"$3,503",R2879339,,Residential,9999,,"19642 32 Ave, Langley, BC",2,3,6,03/05/2024,"$4,880,000"
282,Single Family Residence,"$5,901",2760 sqft,Yes,$539,R2879694,,Residential,2007,,"8421 209 St, Langley, BC",3,4,4,05/05/2024,"$1,489,000"
283,Townhouse,"$5,227",2829 sqft,Yes,$489,R2879602,,Residential,2017,,"47 - 7138 210 St, Langley, BC",3,3,4,03/05/2024,"$1,385,000"
284,Single Family Residence,"$5,668",2129 sqft,No,$634,R2878606,,Residential,1978,,"20567 51a Ave, Langley, BC",4,5,0,02/05/2024,"$1,349,900"
285,Townhouse,"$4,195",3252 sqft,Yes,$439,R2880095,,Residential,2022,,"3 - 8567 204 St, Langley, BC",3,4,4,05/05/2024,"$1,428,000"
286,Townhouse,"$2,889",1410 sqft,Yes,$609,R2879019,,Residential,2020,,"33 - 5515 199 A St, Langley, BC",2,3,2,04/05/2024,"$859,900"
287,Single Family Residence,$7,3000 sqft,No,$233,R2877641,,Residential,9999,,"3949 197 St, Langley, BC",3,4,3,30/04/2024,"$699,800"
288,Single Family Residence,"$8,384",5426 sqft,Yes,$432,R2878022,,Residential,2006,,"19695 71 Ave, Langley, BC",6,7,6,30/04/2024,"$2,349,000"
289,Single Family Residence,"$4,824",1650 sqft,Yes,"$1,150",R2877581,,Residential,9999,,"19868 54 Ave, Langley, BC",1,0,10,29/04/2024,"$1,899,000"
290,Single Family Residence,"$5,646",2132 sqft,Yes,$650,R2878435,,Residential,1985,,"9466 214b St, Langley, BC",2,3,6,29/04/2024,"$1,386,000"
291,Single Family Residence,,3940 sqft,Yes,$545,R2877869,,Residential,2024,,"19635 75 B Ave, Langley, BC",4,6,4,30/04/2024,"$2,150,000"
292,Single Family Residence,,3532 sqft,Yes,$565,R2878088,,Residential,2024,,"19625 75 Ave, Langley, BC",4,5,4,30/04/2024,"$1,998,000"
293,Apartment/Condominium,,724 sqft,No,$602,R2878923,,Residential,1984,,"307 - 5664 200 St, Langley, BC",1,1,1,30/04/2024,"$435,900"
294,Apartment/Condominium,,689 sqft,Yes,$914,R2877908,,Residential,2027,,"B226 - 20117 84 Ave, Langley, BC",1,2,0,30/04/2024,"$629,900"
295,Apartment/Condominium,"$3,206",881 sqft,Yes,$715,R2875443,,Residential,2013,,"C404 - 20211 66 Ave, Langley, BC",2,2,1,24/04/2024,"$630,000"
296,Townhouse,"$3,274",1490 sqft,Yes,$536,R2876099,,Residential,1996,,"42 - 8890 Walnut Grove Dr, Langley, BC",1,3,2,23/04/2024,"$799,000"
297,Townhouse,,1314 sqft,Yes,$776,R2875541,,Residential,2024,,"38 - 8433 203 A St, Langley, BC",2,3,2,24/04/2024,"$1,019,900"
298,Single Family Residence,"$4,857",1039 sqft,No,"$2,309",R2875200,,Residential,1949,,"20765 Douglas Cres, Langley, BC",1,2,2,04/05/2024,"$2,400,000"
299,Townhouse,"$4,052",1493 sqft,Yes,$575,R2875365,,Residential,2020,,"5 - 21688 52 Ave, Langley, BC",2,3,2,24/04/2024,"$859,900"
300,Single Family Residence,,4246 sqft,Yes,$447,R2875487,,Residential,2024,,"1 - 23809 Old Yale Rd, Langley, BC",4,6,6,24/04/2024,"$1,899,900"
301,Single Family Residence,"$5,048",800 sqft,No,"$3,000",R2875196,,Residential,1946,,"20755 Douglas Cres, Langley, BC",1,2,2,07/05/2024,"$2,400,000"
302,Apartment/Condominium,"$1,192",624 sqft,No,$669,R2875175,,Residential,1984,,"208 - 5700 200 St, Langley, BC",1,1,1,24/04/2024,"$418,000"
303,Single Family Residence,"$6,404",1883 sqft,Yes,"$1,274",R2872053,,Residential,1976,,"4771 199a St, Langley, BC",2,4,1,17/04/2024,"$2,399,000"
304,Townhouse,"$3,437",1329 sqft,Yes,$692,R2872372,,Residential,2022,,"12 - 8430 203 A St, Langley, BC",2,3,2,17/04/2024,"$919,800"
305,Single Family Residence,$255,1025 sqft,Yes,"$2,780",R2872844,,Residential,9999,,"5108 244 St, Langley, BC",1,2,10,17/04/2024,"$2,850,000"
306,Single Family Residence,"$7,220",4787 sqft,No,$626,R2872750,,Residential,1992,,"8904 Nash St, Langley, BC",5,8,7,17/04/2024,"$2,998,000"
307,Townhouse,$1,1319 sqft,Yes,$659,R2871317,,Residential,2024,,"112 - 5330 198 St, Langley, BC",2,3,2,17/04/2024,"$869,900"
308,Single Family Residence,"$6,529",915 sqft,No,"$2,950",R2871716,,Residential,9999,,"5419 203 St, Langley, BC",1,2,6,17/04/2024,"$2,700,000"
309,Townhouse,"$3,856",1374 sqft,No,$617,R2872560,,Residential,2016,,"76 - 8476 207a St, Langley, BC",2,3,3,17/04/2024,"$848,000"
310,Townhouse,"$4,855",1504 sqft,Yes,$697,R2872549,,Residential,2022,,"33 - 20189 84 Ave, Langley, BC",2,3,2,17/04/2024,"$1,049,000"
311,Apartment/Condominium,"$3,063",897 sqft,Yes,$746,R2870134,,Residential,2021,,"215 - 20356 72b Ave, Langley, BC",2,2,1,11/04/2024,"$669,999"
312,Townhouse,"$2,271",1308 sqft,Yes,$610,R2870275,,Residential,2017,,"6 - 19753 55a Ave, Langley, BC",2,2,2,11/04/2024,"$798,900"
313,Single Family Residence,"$2,857",2172 sqft,No,"$1,772",R2866512,,Residential,1979,,"21896 40 Ave, Langley, BC",3,6,0,10/04/2024,"$3,850,000"
314,Single Family Residence,"$7,569",5465 sqft,Yes,$371,R2870014,,Residential,2013,,"20574 69 Ave, Langley, BC",4,6,4,11/04/2024,"$2,030,000"
315,Single Family Residence,"$6,093",2183 sqft,No,$698,R2870268,,Residential,1967,,"20173 48 Ave, Langley, BC",2,4,0,11/04/2024,"$1,525,000"
316,Single Family Residence,"$6,230",1935 sqft,Yes,"$1,549",R2869568,,Residential,1975,,"23048 64 Ave, Langley, BC",2,3,5,10/04/2024,"$2,999,000"
317,Apartment/Condominium,"$2,724",704 sqft,Yes,$750,R2871075,,Residential,2020,,"B003 - 20087 68 Ave, Langley, BC",1,1,1,11/04/2024,"$528,000"
318,Apartment/Condominium,,887 sqft,Yes,$799,R2869799,,Residential,2023,,"417 - 20695 Eastleigh Cres, Langley, BC",2,2,2,11/04/2024,"$709,000"
319,Single Family Residence,,2502 sqft,Yes,"$1,038",R2868172,,Residential,1972,,"4655 Saddlehorn Cres, Langley, BC",2,3,30,07/04/2024,"$2,599,000"
320,Single Family Residence,"$6,941",3806 sqft,Yes,$453,R2867386,,Residential,2008,,"20334 98a Ave, Langley, BC",4,7,6,07/04/2024,"$1,725,000"
321,Single Family Residence,"$7,622",1750 sqft,No,"$1,994",R2867019,,Residential,1980,,"20230 28 Ave, Langley, BC",3,3,0,07/04/2024,"$3,490,000"
322,Single Family Residence,"$1,086",3506 sqft,Yes,"$1,425",R2867837,,Residential,1927,,"24250 88 Ave, Langley, BC",4,6,10,07/04/2024,"$4,999,000"
323,Single Family Residence,"$19,333",8878 sqft,Yes,$822,R2868154,,Residential,2018,,"7670 240 St, Langley, BC",6,8,10,07/04/2024,"$7,298,000"
324,Single Family Residence,"$5,479",2409 sqft,Yes,$612,R2867920,,Residential,1977,,"20501 45a Ave, Langley, BC",3,4,6,06/04/2024,"$1,475,000"
325,Townhouse,"$3,586",1580 sqft,Yes,$568,R2867278,,Residential,2008,,"57 - 20038 70 Ave, Langley, BC",3,4,4,04/04/2024,"$899,000"
326,Single Family Residence,"$19,132",2104 sqft,Yes,"$5,465",R2868825,,Residential,1986,,"19810 20 Ave, Langley, BC",2,4,10,07/04/2024,"$11,500,000"
327,Single Family Residence,"$9,165",3330 sqft,No,"$2,972",R2864370,,Residential,1973,,"21068 16 Ave, Langley, BC",3,5,15,28/03/2024,"$9,900,000"
328,Single Family Residence,"$4,582",2357 sqft,Yes,$636,R2862947,,Residential,1975,,"20277 36 Ave, Langley, BC",2,5,7,26/03/2024,"$1,499,999"
329,Single Family Residence,"$5,352",1260 sqft,Yes,"$2,373",R2863764,,Residential,1970,,"3916 240 St, Langley, BC",3,3,2,27/03/2024,"$2,990,000"
330,Single Family Residence,"$7,021",2300 sqft,No,$825,R2861872,,Residential,1970,,"9476 210 St, Langley, BC",2,5,8,25/03/2024,"$1,899,000"
331,Single Family Residence,"$5,087",3960 sqft,Yes,$626,R2864681,,Residential,1998,,"20759 97b Ave, Langley, BC",3,5,4,28/03/2024,"$2,480,000"
332,Single Family Residence,"$5,081",1339 sqft,Yes,$873,R2864436,,Residential,1987,,"9381 210 St, Langley, BC",2,3,2,28/03/2024,"$1,169,900"
